country,averageSalaryUSD,gdp_per_capita,people_vaccinated_per_hundred
Algeria,100000.0,13913.839,16.71
Australia,108042.66666666667,44648.71,85.66
Austria,72920.75,45436.686,75.2
Belgium,85699.0,42658.576,79.26
Brazil,18602.666666666668,14103.452,83.28
Canada,99823.73333333334,44017.591,85.62
Chile,40038.0,22767.037,92.71
China,71665.5,15308.712,87.89
Colombia,21844.0,13254.949,80.47
Croatia,45618.0,22669.797,56.54
Denmark,54386.333333333336,46682.515,83.33
Estonia,32974.0,29481.252,64.73
France,63970.666666666664,38605.671,80.04
Germany,81887.21428571429,45229.245,75.69
Greece,52293.09090909091,24574.382,75.88
Honduras,20000.0,4541.795,53.81
Hungary,35735.0,26777.561,66.39
India,28581.75,6426.674,69.41
Iran,4000.0,19082.62,74.18
Iraq,100000.0,15663.986,23.98
Ireland,71444.0,67335.293,81.38
Israel,119059.0,33132.32,72.11
Italy,36366.5,35220.084,83.9
Japan,114127.33333333333,39002.223,80.73
Kenya,9272.0,2993.028,16.03
Luxembourg,43942.666666666664,94277.965,75.5
Malaysia,40000.0,26808.164,82.8
Malta,28369.0,36513.323,91.3
Mexico,32123.333333333332,17336.469,65.5
Moldova,18000.0,5189.972,24.6
Netherlands,54945.75,48472.545,78.32
New Zealand,125000.0,36085.843,83.3
Nigeria,30000.0,5338.454,8.39
Pakistan,13333.333333333334,5034.708,56.63
Poland,66082.5,27216.445,59.63
Portugal,47793.75,27936.896,95.02
Romania,60000.0,23313.199,42.59
Russia,157500.0,24765.954,53.97
Singapore,89294.0,85535.383,91.48
Slovenia,63831.0,31400.84,60.81
Spain,53060.142857142855,34272.36,87.89
Switzerland,64114.0,57410.166,69.73
Turkey,20096.666666666668,25129.341,67.86
Ukraine,13400.0,7894.393,36.19
United Arab Emirates,100000.0,67293.483,98.99
United Kingdom,81583.0425531915,39753.244,77.2
United States,144055.26197183097,54225.446,76.5
Vietnam,4000.0,6171.884,80.9
